[ID],DescriptorId,Modules,_ShortDatabaseName,ClassNameForDebug,StickToGround,HitRollSizeModifier,NameInMenuToken,Category,TypeForAcknow,MotherCountry,MaxPacks,Factory,ProductionPrice,MaxDeployableAmount,ShowInMenu,TextureForInterface,TextureMotherCountryForInterface,UnitTypeTokens,Nationalite,Key,WorldIndex,UnitMovingType
19791,00000000-0000-0000-0100-0000e8030000,Collection[23],Descriptor_Building_FOB_ANZ,Building_FOB_ANZ,True,10,4C06010000000000,8,3,ANZ,2,3,Collection[5],Collection[5],Collection[5],78 : 32654 (True) - TUIResourceTexture,Components,Collection[6],null,null,null,null
19792,00000000-0000-0000-0100-0000e9030000,Collection[23],Descriptor_Building_FOB_CAN,Building_FOB_CAN,True,10,4C06010000000000,8,3,CAN,2,3,Collection[5],Collection[5],Collection[5],78 : 32658 (True) - TUIResourceTexture,TextureSourceCaracChooser,Collection[6],null,null,null,null
19793,00000000-0000-0000-0100-0000ea030000,Collection[23],Descriptor_Building_FOB_CHINE,Building_FOB_CHINE,True,10,4C06010000000000,8,3,CHI,2,3,Collection[5],Collection[5],Collection[5],78 : 32662 (True) - TUIResourceTexture,CommonTexture_MotherCountryFlag_HOL,Collection[6],1,null,null,null
19794,00000000-0000-0000-0100-0000eb030000,Collection[23],Descriptor_Building_FOB_CZ,Building_FOB_CZ,True,10,4C06010000000000,8,3,TCH,2,3,Collection[5],Collection[5],Collection[5],78 : 32666 (True) - TUIResourceTexture,Typeface3D_TitleMono_CompensatePostProcess,Collection[6],1,null,null,null
19795,00000000-0000-0000-0100-0000ec030000,Collection[23],Descriptor_Building_FOB_DK,Building_FOB_DK,True,10,4C06010000000000,8,3,DAN,2,3,Collection[5],Collection[5],Collection[5],78 : 32670 (True) - TUIResourceTexture,CommonTexture_MotherCountryFlag_NK,Collection[6],null,null,null,null
19796,00000000-0007-0000-0100-0000e8030000,Collection[23],Descriptor_Building_FOB_FIN,Building_FOB_FIN,True,10,4C06010000000000,8,3,FIN,2,3,Collection[5],Collection[5],Collection[5],78 : 32674 (True) - TUIResourceTexture,CommonTexture_MotherCountryFlag_ANZ,Collection[6],1,null,null,null
19797,00000000-0000-0000-0100-0000ed030000,Collection[23],Descriptor_Building_FOB_FR,Building_FOB_FR,True,10,4C06010000000000,8,3,FR,2,3,Collection[5],Collection[5],Collection[5],78 : 32678 (True) - TUIResourceTexture,Divers,Collection[6],null,null,null,null
19798,00000000-0004-0000-0100-0000e8030000,Collection[23],Descriptor_Building_FOB_HOL,Building_FOB_HOL,True,10,4C06010000000000,8,3,HOL,2,3,Collection[5],Collection[5],Collection[5],78 : 32682 (True) - TUIResourceTexture,UI,Collection[6],null,null,null,null
19799,00000000-0005-0000-0100-0000e8030000,Collection[23],Descriptor_Building_FOB_ISR,Building_FOB_ISR,True,10,4C06010000000000,8,3,ISR,2,3,Collection[5],Collection[5],Collection[5],78 : 32686 (True) - TUIResourceTexture,CommonTexture_MotherCountryFlag_FR,Collection[6],null,null,null,null
19800,00000000-0000-0000-0100-0000ee030000,Collection[23],Descriptor_Building_FOB_JAP,Building_FOB_JAP,True,10,4C06010000000000,8,3,JAP,2,3,Collection[5],Collection[5],Collection[5],78 : 32690 (True) - TUIResourceTexture,CommonTexture_MotherCountryFlag_SA,Collection[6],null,null,null,null
19801,00000000-0000-0000-0100-0000ef030000,Collection[23],Descriptor_Building_FOB_NK,Building_FOB_NK,True,10,4C06010000000000,8,3,NK,2,3,Collection[5],Collection[5],Collection[5],78 : 32694 (True) - TUIResourceTexture,CommonTexture_MotherCountryFlag_URSS,Collection[6],1,null,null,null
19802,00000000-0000-0000-0100-0000f0030000,Collection[23],Descriptor_Building_FOB_NOR,Building_FOB_NOR,True,10,4C06010000000000,8,3,NOR,2,3,Collection[5],Collection[5],Collection[5],78 : 32698 (True) - TUIResourceTexture,CommonTexture_MotherCountryFlag_RDA,Collection[6],null,null,null,null
19803,00000000-0000-0000-0100-0000f1030000,Collection[23],Descriptor_Building_FOB_OTAN,Building_FOB_OTAN,True,10,4C06010000000000,8,3,US,2,3,Collection[5],Collection[5],Collection[5],78 : 32702 (True) - TUIResourceTexture,CommonTexture_MotherCountryFlag_POL,Collection[6],null,101,null,null
19804,00000000-0000-0000-0100-0000f2030000,Collection[23],Descriptor_Building_FOB_POL,Building_FOB_POL,True,10,4C06010000000000,8,3,POL,2,3,Collection[5],Collection[5],Collection[5],78 : 32706 (True) - TUIResourceTexture,Zoom123,Collection[6],1,null,null,null
19805,00000000-0000-0000-0100-0000f3030000,Collection[23],Descriptor_Building_FOB_RDA,Building_FOB_RDA,True,10,4C06010000000000,8,3,RDA,2,3,Collection[5],Collection[5],Collection[5],78 : 32710 (True) - TUIResourceTexture,CommonTexture_MotherCountryFlag_CAN,Collection[6],1,null,null,null
19806,00000000-0000-0000-0100-0000f4030000,Collection[23],Descriptor_Building_FOB_RFA,Building_FOB_RFA,True,10,4C06010000000000,8,3,RFA,2,3,Collection[5],Collection[5],Collection[5],78 : 32714 (True) - TUIResourceTexture,CommonTexture_MotherCountryFlag_US,Collection[6],null,null,null,null
19807,00000000-0000-0000-0100-0000f5030000,Collection[23],Descriptor_Building_FOB_ROK,Building_FOB_ROK,True,10,4C06010000000000,8,3,ROK,2,3,Collection[5],Collection[5],Collection[5],78 : 32718 (True) - TUIResourceTexture,CommonTexture_MotherCountryFlag_ISR,Collection[6],null,null,null,null
19808,00000000-000b-0000-0100-0000e8030000,Collection[23],Descriptor_Building_FOB_SA,Building_FOB_SA,True,10,4C06010000000000,8,3,SA,2,3,Collection[5],Collection[5],Collection[5],78 : 32722 (True) - TUIResourceTexture,CommonTexture_MotherCountryFlag_SWE,Collection[6],null,null,null,null
19809,00000000-0000-0000-0100-0000f6030000,Collection[23],Descriptor_Building_FOB_SWE,Building_FOB_SWE,True,10,4C06010000000000,8,3,SWE,2,3,Collection[5],Collection[5],Collection[5],78 : 32726 (True) - TUIResourceTexture,TextureType_TextureAnimationUnitIcone_Asynchrone,Collection[6],null,null,null,null
19810,00000000-0000-0000-0100-0000f7030000,Collection[23],Descriptor_Building_FOB_UK,Building_FOB_UK,True,10,4C06010000000000,8,3,UK,2,3,Collection[5],Collection[5],Collection[5],78 : 32730 (True) - TUIResourceTexture,CommonTexture_MotherCountryFlag_TCH,Collection[6],null,null,null,null
19811,00000000-0000-0000-0100-0000f8030000,Collection[23],Descriptor_Building_FOB_Varsovie,Building_FOB_Varsovie,True,10,4C06010000000000,8,3,URSS,2,3,Collection[5],Collection[5],Collection[5],78 : 32734 (True) - TUIResourceTexture,MaterialInterface2D_Blend,Collection[6],1,null,null,null
19812,00000000-0007-0000-0100-0000e9030000,Collection[23],Descriptor_Building_FOB_YUG,Building_FOB_YUG,True,10,4C06010000000000,8,3,YUG,2,3,Collection[5],Collection[5],Collection[5],78 : 32738 (True) - TUIResourceTexture,CommonTexture_MotherCountryFlag_UK,Collection[6],1,null,null,null
32766,00000000-0000-0000-0500-0000eb030000,Collection[6],Descriptor_Fire_Incendie,Fire_Incendie,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7,null
45076,00000000-0000-0000-0300-0000e8030000,Collection[8],Descriptor_Company_152mm_SpGH_Dana,Company_152mm_SpGH_Dana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3
45111,00000000-0000-0000-0300-0000e9030000,Collection[8],Descriptor_Company_2K12_Kub,Company_2K12_Kub,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
45118,00000000-0000-0000-0300-0000ea030000,Collection[8],Descriptor_Company_2K22M_Tunguska_M,Company_2K22M_Tunguska_M,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
45122,00000000-0000-0000-0300-0000eb030000,Collection[8],Descriptor_Company_2K22_Tunguska,Company_2K22_Tunguska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
45127,00000000-0000-0000-0300-0000ec030000,Collection[8],Descriptor_Company_2S15_Norov,Company_2S15_Norov,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8
45132,00000000-0000-0000-0300-0000ed030000,Collection[8],Descriptor_Company_2S19_MstaS,Company_2S19_MstaS,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
45138,00000000-0000-0000-0300-0000ee030000,Collection[8],Descriptor_Company_2S1_Gozdzik,Company_2S1_Gozdzik,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8
45142,00000000-0000-0000-0300-0000ef030000,Collection[8],Descriptor_Company_2S1_Gvozdika,Company_2S1_Gvozdika,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8
45146,00000000-0000-0000-0300-0000f0030000,Collection[8],Descriptor_Company_2S23_Nona_SVK,Company_2S23_Nona_SVK,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7
45151,00000000-0000-0000-0300-0000f1030000,Collection[8],Descriptor_Company_2S3M_Akatsiya,Company_2S3M_Akatsiya,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
45156,00000000-0000-0000-0300-0000f2030000,Collection[8],Descriptor_Company_2S3_Akatsiya,Company_2S3_Akatsiya,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
45161,00000000-0000-0000-0300-0000f3030000,Collection[8],Descriptor_Company_2S7M_Malka,Company_2S7M_Malka,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
45166,00000000-0000-0000-0300-0000f4030000,Collection[8],Descriptor_Company_2S7_Pion,Company_2S7_Pion,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
45170,00000000-0000-0000-0300-0000f5030000,Collection[8],Descriptor_Company_2S7_Piwonia,Company_2S7_Piwonia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
45174,00000000-0000-0000-0300-0000f6030000,Collection[8],Descriptor_Company_2S9_Nona,Company_2S9_Nona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8
45180,00000000-0000-0000-0300-0000f7030000,Collection[9],Descriptor_Company_2eme_REP,Company_2eme_REP,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1
45190,00000000-0000-0000-0300-0000f8030000,Collection[9],Descriptor_Company_2eme_REP_FAMAS,Company_2eme_REP_FAMAS,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1
45197,00000000-0000-0000-0300-0000f9030000,Collection[9],Descriptor_Company_75_Highlanders,Company_75_Highlanders,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1
45203,00000000-0000-0000-0300-0000fa030000,Collection[9],Descriptor_Company_90_Motorstrelki,Company_90_Motorstrelki,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1
45209,00000000-0000-0000-0300-0000fb030000,Collection[8],Descriptor_Company_9K33M3_Romb,Company_9K33M3_Romb,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7
45214,00000000-0000-0000-0300-0000fc030000,Collection[8],Descriptor_Company_9K33_OSA,Company_9K33_OSA,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7
45218,00000000-0000-0000-0300-0000fd030000,Collection[8],Descriptor_Company_9K33_OSA_AK,Company_9K33_OSA_AK,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7
45222,00000000-0000-0000-0300-0000fe030000,Collection[8],Descriptor_Company_9K33_OSA_AKM,Company_9K33_OSA_AKM,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7
45226,00000000-0000-0000-0300-0000ff030000,Collection[8],Descriptor_Company_9K35_Strela10,Company_9K35_Strela10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8
45231,00000000-0000-0000-0300-000000040000,Collection[8],Descriptor_Company_9K37_Buk,Company_9K37_Buk,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
45236,00000000-0000-0000-0300-000001040000,Collection[8],Descriptor_Company_9K37_Buk_M1,Company_9K37_Buk_M1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
45242,00000000-0000-0000-0300-000002040000,Collection[8],Descriptor_Company_AML_60_20_Serval,Company_AML_60_20_Serval,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3
45248,00000000-0003-0000-0300-0000e8030000,Collection[8],Descriptor_Company_AMOS_SWE,Company_AMOS_SWE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
45252,00000000-0004-0000-0300-0000e8030000,Collection[8],Descriptor_Company_AMX105_Mk61_NL,Company_AMX105_Mk61_NL,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
45256,00000000-0004-0000-0300-0000e9030000,Collection[8],Descriptor_Company_AMX13_FL12_NL,Company_AMX13_FL12_NL,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
45264,00000000-0004-0000-0300-0000ea030000,Collection[8],Descriptor_Company_AMX13_FL15_NL,Company_AMX13_FL15_NL,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
45269,00000000-0000-0000-0300-000003040000,Collection[9],Descriptor_Company_AMX13_VTT,Company_AMX13_VTT,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
45273,00000000-0000-0000-0300-000004040000,Collection[8],Descriptor_Company_AMX_105_AU_50,Company_AMX_105_AU_50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5
